Entity,Code,Year,0_0_Plastic_t_y
Belgium,BEL,2019,2284
Bulgaria,BGR,2019,3117
Croatia,HRV,2019,17544
Cyprus,CYP,2019,837
Denmark,DNK,2019,390
Estonia,EST,2019,600
Finland,FIN,2019,2621
France,FRA,2019,27780
Germany,DEU,2019,50676
Greece,GRC,2019,4506
Ireland,IRL,2019,2675
Italy,ITA,2019,38803
Latvia,LVA,2019,955
Lithuania,LTU,2019,1037
Malta,MLT,2019,259
Netherlands,NLD,2019,15233
Poland,POL,2019,14124
Portugal,PRT,2019,3818
Romania,ROU,2019,52161
Slovakia,SVK,2019,1719
Slovenia,SVN,2019,844
Spain,ESP,2019,20350
Sweden,SWE,2019,4255
United Kingdom,GBR,2019,29914
