Entity,Code,Year,0_0_CO2pc
Austria,AUT,1807,0.053945992
Austria,AUT,1819,0.075489655
Austria,AUT,1820,0.09901921
Austria,AUT,1821,0.106077276
Austria,AUT,1822,0.10769429
Austria,AUT,1823,0.101810046
Austria,AUT,1824,0.11624328
Austria,AUT,1825,0.11673694
Austria,AUT,1826,0.13200791
Austria,AUT,1827,0.13661791
Austria,AUT,1828,0.13072197
Austria,AUT,1829,0.13528666
Austria,AUT,1830,0.13980326
Austria,AUT,1831,0.13499741
Austria,AUT,1832,0.143566
Austria,AUT,1833,0.11939268
Austria,AUT,1834,0.16247256
Austria,AUT,1835,0.17481326
Austria,AUT,1836,0.1850181
Austria,AUT,1837,0.19311765
Austria,AUT,1838,0.23100474
Austria,AUT,1839,0.2862818
Austria,AUT,1840,0.31430042
Austria,AUT,1841,0.35270458
Austria,AUT,1842,0.3876523
Austria,AUT,1843,0.3349525
Austria,AUT,1844,0.418547
Austria,AUT,1845,0.4695527
Austria,AUT,1846,0.5484367
Austria,AUT,1847,0.5365954
Austria,AUT,1848,0.5981167
Austria,AUT,1849,0.57571006
Austria,AUT,1850,0.58869374
Austria,AUT,1851,0.58663684
Austria,AUT,1852,0.7015607
Austria,AUT,1853,0.7993166
Austria,AUT,1854,0.7820265
Austria,AUT,1855,0.9046697
Austria,AUT,1856,1.0273466
Austria,AUT,1857,1.17477
Austria,AUT,1858,1.7341001
Austria,AUT,1859,1.3946497
Austria,AUT,1860,1.4518162
Austria,AUT,1861,1.496249
Austria,AUT,1862,1.4803985
Austria,AUT,1863,1.360496
Austria,AUT,1864,1.1670947
Austria,AUT,1865,1.2231227
Austria,AUT,1866,0.8159286
Austria,AUT,1867,1.1080908
Austria,AUT,1868,1.3602931
Austria,AUT,1869,1.442899
Austria,AUT,1870,1.6263044
Austria,AUT,1871,2.2218096
Austria,AUT,1872,2.173657
Austria,AUT,1873,2.3097484
Austria,AUT,1874,1.9530363
Austria,AUT,1875,1.6621472
Austria,AUT,1876,1.6957643
Austria,AUT,1877,1.5132375
Austria,AUT,1878,1.4907401
Austria,AUT,1879,1.8087848
Austria,AUT,1880,4.7833023
Austria,AUT,1881,2.067934
Austria,AUT,1882,2.1065784
Austria,AUT,1883,2.316949
Austria,AUT,1884,2.238002
Austria,AUT,1885,2.3318887
Austria,AUT,1886,2.1814244
Austria,AUT,1887,2.3309705
Austria,AUT,1888,2.2532372
Austria,AUT,1889,2.4053655
Austria,AUT,1890,2.4127738
Austria,AUT,1891,2.7395048
Austria,AUT,1892,2.6253097
Austria,AUT,1893,3.1798317
Austria,AUT,1894,3.223744
Austria,AUT,1895,3.5856628
Austria,AUT,1896,3.7107246
Austria,AUT,1897,3.9699879
Austria,AUT,1898,4.174189
Austria,AUT,1899,4.193059
Austria,AUT,1900,4.632105
Austria,AUT,1901,4.6936116
Austria,AUT,1902,4.2106276
Austria,AUT,1903,4.168439
Austria,AUT,1904,4.3684497
Austria,AUT,1905,4.5464983
Austria,AUT,1906,5.3763866
Austria,AUT,1907,6.6482058
Austria,AUT,1908,9.252336
Austria,AUT,1909,6.675104
Austria,AUT,1910,8.945358
Austria,AUT,1911,7.458343
Austria,AUT,1912,7.8439646
Austria,AUT,1913,9.276995
Austria,AUT,1914,7.5718455
Austria,AUT,1915,5.402494
Austria,AUT,1916,1.3923469
Austria,AUT,1917,0.53014594
Austria,AUT,1918,0.5139486
Austria,AUT,1919,0.46488443
Austria,AUT,1920,2.2398398
Austria,AUT,1921,2.978213
Austria,AUT,1922,2.8559391
Austria,AUT,1923,2.7220175
Austria,AUT,1924,3.0658689
Austria,AUT,1925,2.8875086
Austria,AUT,1926,2.8213873
Austria,AUT,1927,3.0383973
Austria,AUT,1928,3.1884902
Austria,AUT,1929,3.626881
Austria,AUT,1930,2.8240266
Austria,AUT,1931,2.7058372
Austria,AUT,1932,2.2655265
Austria,AUT,1933,2.1242874
Austria,AUT,1934,2.0525186
Austria,AUT,1935,2.0769846
Austria,AUT,1936,2.0271516
Austria,AUT,1937,2.2750425
Austria,AUT,1938,0.862478
Austria,AUT,1939,0.943464
Austria,AUT,1940,1.0917797
Austria,AUT,1941,1.1829126
Austria,AUT,1942,1.2643098
Austria,AUT,1943,1.4172179
Austria,AUT,1944,1.380057
Austria,AUT,1945,0.66811675
Austria,AUT,1946,1.8625909
Austria,AUT,1947,2.5647795
Austria,AUT,1948,3.5503533
Austria,AUT,1949,3.8413289
Austria,AUT,1950,3.0122435
Austria,AUT,1951,3.3568022
Austria,AUT,1952,3.1860733
Austria,AUT,1953,3.1326003
Austria,AUT,1954,3.5312462
Austria,AUT,1955,4.1849804
Austria,AUT,1956,4.057253
Austria,AUT,1957,4.189154
Austria,AUT,1958,4.01999
Austria,AUT,1959,3.9793963
Austria,AUT,1960,4.368728
Austria,AUT,1961,4.491471
Austria,AUT,1962,4.750332
Austria,AUT,1963,5.149782
Austria,AUT,1964,5.385157
Austria,AUT,1965,5.2463713
Austria,AUT,1966,5.3556924
Austria,AUT,1967,5.411817
Austria,AUT,1968,5.70518
Austria,AUT,1969,6.0003314
Austria,AUT,1970,6.7822638
Austria,AUT,1971,6.943891
Austria,AUT,1972,7.434441
Austria,AUT,1973,7.9134145
Austria,AUT,1974,7.541655
Austria,AUT,1975,7.1551
Austria,AUT,1976,7.6953425
Austria,AUT,1977,7.40035
Austria,AUT,1978,7.569392
Austria,AUT,1979,8.12474
Austria,AUT,1980,6.8929434
Austria,AUT,1981,7.3791366
Austria,AUT,1982,7.074789
Austria,AUT,1983,6.835228
Austria,AUT,1984,7.1725335
Austria,AUT,1985,7.189302
Austria,AUT,1986,7.1001425
Austria,AUT,1987,7.5767355
Austria,AUT,1988,6.9803343
Austria,AUT,1989,7.0473185
Austria,AUT,1990,8.093165
Austria,AUT,1991,8.476919
Austria,AUT,1992,7.683372
Austria,AUT,1993,7.67469
Austria,AUT,1994,7.692872
Austria,AUT,1995,8.05596
Austria,AUT,1996,8.465274
Austria,AUT,1997,8.442684
Austria,AUT,1998,8.387604
Austria,AUT,1999,8.21523
Austria,AUT,2000,8.257961
Austria,AUT,2001,8.725461
Austria,AUT,2002,8.90626
Austria,AUT,2003,9.539407
Austria,AUT,2004,9.506332
Austria,AUT,2005,9.611983
Austria,AUT,2006,9.289864
Austria,AUT,2007,8.934212
Austria,AUT,2008,8.830757
Austria,AUT,2009,8.066541
Austria,AUT,2010,8.610293
Austria,AUT,2011,8.329333
Austria,AUT,2012,7.9796877
Austria,AUT,2013,7.9909325
Austria,AUT,2014,7.5075483
Austria,AUT,2015,7.67711
Austria,AUT,2016,7.693105
Austria,AUT,2017,7.9105253
Austria,AUT,2018,7.528652
Austria,AUT,2019,7.6505237
Austria,AUT,2020,6.9644117
Austria,AUT,2021,7.243327
Belgium,BEL,1802,1.9576033
Belgium,BEL,1830,1.6524625
Belgium,BEL,1831,1.180074
Belgium,BEL,1832,1.236363
Belgium,BEL,1833,1.1869234
Belgium,BEL,1834,1.1363375
Belgium,BEL,1835,1.2167125
Belgium,BEL,1836,1.4191859
Belgium,BEL,1837,1.5076544
Belgium,BEL,1838,1.5260426
Belgium,BEL,1839,1.6580431
Belgium,BEL,1840,1.8935716
Belgium,BEL,1841,1.7955159
Belgium,BEL,1842,1.8498373
Belgium,BEL,1843,1.6982734
Belgium,BEL,1844,1.8467051
Belgium,BEL,1845,1.9288168
Belgium,BEL,1846,2.086101
Belgium,BEL,1847,2.1492531
Belgium,BEL,1848,1.8944428
Belgium,BEL,1849,1.981217
Belgium,BEL,1850,2.100403
Belgium,BEL,1851,2.271931
Belgium,BEL,1852,2.5322652
Belgium,BEL,1853,2.5995557
Belgium,BEL,1854,2.8618262
Belgium,BEL,1855,2.9132307
Belgium,BEL,1856,2.8592112
Belgium,BEL,1857,2.9578233
