Entity,Code,Year,2_1_FDI_outflows_share_GDP
Austria,AUT,1970,0.05626746267080307
Austria,AUT,1971,0.20225678384304047
Austria,AUT,1972,0.17393778264522552
Austria,AUT,1973,0.13132096827030182
Austria,AUT,1974,0.05606817826628685
Austria,AUT,1975,0.06447955965995789
Austria,AUT,1976,0.13084271550178528
Austria,AUT,1977,0.1670360565185547
Austria,AUT,1978,0.14473284780979156
Austria,AUT,1979,0.11477293074131012
Austria,AUT,1980,0.12274108827114105
Austria,AUT,1981,0.2969554364681244
Austria,AUT,1982,0.195439413189888
Austria,AUT,1983,0.2615465223789215
Austria,AUT,1984,0.10341934859752655
Austria,AUT,1985,0.06269253045320511
Austria,AUT,1986,0.29762002825737
Austria,AUT,1987,0.2548096179962158
Austria,AUT,1988,0.21258053183555603
Austria,AUT,1989,0.6473289728164673
Austria,AUT,1990,1.0218462944030762
Austria,AUT,1991,0.7439835071563721
Austria,AUT,1992,0.9022217392921448
Austria,AUT,1993,0.6190513372421265
Austria,AUT,1994,0.6097301840782166
Austria,AUT,1995,0.44953566789627075
Austria,AUT,1996,0.7962369918823242
Austria,AUT,1997,0.939127504825592
Austria,AUT,1998,1.268233060836792
Austria,AUT,1999,1.5193431377410889
Austria,AUT,2000,2.7925896644592285
Austria,AUT,2001,1.5300064086914062
Austria,AUT,2002,2.696162462234497
Austria,AUT,2003,2.6155056953430176
Austria,AUT,2004,2.663691520690918
Austria,AUT,2005,25.71699333190918
Austria,AUT,2006,4.784062385559082
Austria,AUT,2007,20.309053421020508
Austria,AUT,2008,6.458256721496582
Austria,AUT,2009,3.8725168704986572
Austria,AUT,2010,-3.6524429321289062
Austria,AUT,2011,8.836365699768066
Austria,AUT,2012,4.505182266235352
Austria,AUT,2013,2.5642099380493164
Austria,AUT,2014,-0.19778497517108917
Austria,AUT,2015,-0.5601195693016052
Austria,AUT,2016,-6.799712657928467
Austria,AUT,2017,2.422529458999634
Austria,AUT,2018,-5.9130024909973145
Austria,AUT,2019,-1.5019595623016357
Austria,AUT,2020,-1.9042069911956787
Belgium,BEL,1970,0.6515341997146606
Belgium,BEL,1971,0.6907730102539062
Belgium,BEL,1972,0.4756860136985779
Belgium,BEL,1973,0.5634239315986633
Belgium,BEL,1974,0.8548521995544434
Belgium,BEL,1975,0.36209890246391296
Belgium,BEL,1976,0.49471351504325867
Belgium,BEL,1977,0.5615772008895874
Belgium,BEL,1978,0.552878201007843
Belgium,BEL,1979,1.1526241302490234
Belgium,BEL,1980,0.1545620560646057
Belgium,BEL,1981,0.0991024374961853
Belgium,BEL,1982,-0.074987031519413
Belgium,BEL,1983,0.4068625271320343
Belgium,BEL,1984,0.3513756990432739
Belgium,BEL,1985,0.34368374943733215
Belgium,BEL,1986,1.4356086254119873
Belgium,BEL,1987,1.862345576286316
Belgium,BEL,1988,2.331590175628662
Belgium,BEL,1989,3.9497005939483643
Belgium,BEL,1990,3.075237989425659
Belgium,BEL,1991,2.9789085388183594
Belgium,BEL,1992,4.858556747436523
Belgium,BEL,1993,2.182058095932007
Belgium,BEL,1994,0.5600118041038513
Belgium,BEL,1995,4.028461456298828
Belgium,BEL,1996,2.8746700286865234
Belgium,BEL,1997,2.8697621822357178
Belgium,BEL,1998,11.157500267028809
Belgium,BEL,1999,47.35961151123047
Belgium,BEL,2000,36.47147750854492
Belgium,BEL,2001,42.51224136352539
Belgium,BEL,2002,3.4521946907043457
Belgium,BEL,2003,12.281732559204102
Belgium,BEL,2004,9.411149024963379
Belgium,BEL,2005,8.435859680175781
Belgium,BEL,2006,12.27919864654541
Belgium,BEL,2007,17.72225570678711
Belgium,BEL,2008,43.15557098388672
Belgium,BEL,2009,6.898948669433594
Belgium,BEL,2010,13.88117790222168
Belgium,BEL,2011,24.670068740844727
Belgium,BEL,2012,8.36327075958252
Belgium,BEL,2013,-2.3705172538757324
Belgium,BEL,2014,-0.07811693102121353
Belgium,BEL,2015,1.5854569673538208
Belgium,BEL,2016,7.258529186248779
Belgium,BEL,2017,-1.0542018413543701
Belgium,BEL,2018,-6.626762866973877
Belgium,BEL,2019,-6.500799179077148
Belgium,BEL,2020,-3.724411964416504
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0.02177853137254715
Bulgaria,BGR,1988,0.06815910339355469
Bulgaria,BGR,1989,0.010022304020822048
Bulgaria,BGR,1990,-0.012146126478910446
Bulgaria,BGR,1991,-0.05546646937727928
Bulgaria,BGR,1992,-0.026220915839076042
Bulgaria,BGR,1993,-0.029649915173649788
Bulgaria,BGR,1994,0.0018561644246801734
Bulgaria,BGR,1995,-0.042142294347286224
Bulgaria,BGR,1996,-0.23181621730327606
Bulgaria,BGR,1997,-0.015022994950413704
Bulgaria,BGR,1998,0.0004231544735375792
Bulgaria,BGR,1999,0.12560787796974182
Bulgaria,BGR,2000,0.024792136624455452
Bulgaria,BGR,2001,0.06811180710792542
Bulgaria,BGR,2002,0.17276233434677124
Bulgaria,BGR,2003,0.12533847987651825
Bulgaria,BGR,2004,0.7392517924308777
Bulgaria,BGR,2005,0.3124845027923584
Bulgaria,BGR,2006,0.8485218286514282
Bulgaria,BGR,2007,2.189361333847046
Bulgaria,BGR,2008,2.052713632583618
Bulgaria,BGR,2009,0.6943917274475098
Bulgaria,BGR,2010,1.1626402139663696
Bulgaria,BGR,2011,0.8536494970321655
Bulgaria,BGR,2012,0.7550157308578491
Bulgaria,BGR,2013,0.6298855543136597
Bulgaria,BGR,2014,1.5457758903503418
Bulgaria,BGR,2015,0.2426450401544571
Bulgaria,BGR,2016,1.5328271389007568
Bulgaria,BGR,2017,0.8374571204185486
Bulgaria,BGR,2018,1.3928606510162354
Bulgaria,BGR,2019,1.2030835151672363
Bulgaria,BGR,2020,0.4217810034751892
Croatia,HRV,1995,0.032185640186071396
Croatia,HRV,1996,0.1102486327290535
Croatia,HRV,1997,1.0322247743606567
Croatia,HRV,1998,0.6278950572013855
Croatia,HRV,1999,0.26334041357040405
Croatia,HRV,2000,0.2203567773103714
Croatia,HRV,2001,0.5484397411346436
Croatia,HRV,2002,2.1016013622283936
Croatia,HRV,2003,0.4042784869670868
Croatia,HRV,2004,0.9129397869110107
Croatia,HRV,2005,0.5263792872428894
Croatia,HRV,2006,0.5281907320022583
