Entity,Code,Year,Agricultural water withdrawal
Austria,AUT,1980,90000000
Austria,AUT,1985,200000000
Austria,AUT,1990,100000000
Austria,AUT,1995,100000000
Austria,AUT,2000,100000000
Austria,AUT,2010,77100000
Belgium,BEL,1980,361200000
Belgium,BEL,1995,16000000
Belgium,BEL,2000,38200000
Belgium,BEL,2005,36900000
Belgium,BEL,2010,40200000
Bulgaria,BGR,1990,2225000000
Bulgaria,BGR,2000,743000000
Bulgaria,BGR,2005,875900000
Bulgaria,BGR,2010,949400000
Bulgaria,BGR,2015,828800000
Croatia,HRV,2000,5900000
Croatia,HRV,2005,3200000
Croatia,HRV,2010,8600000
Cyprus,CYP,1975,130000000
Cyprus,CYP,1980,140000000
Cyprus,CYP,1985,155000000
Cyprus,CYP,1990,166000000
Cyprus,CYP,1995,156000000
Cyprus,CYP,2000,160600000
Cyprus,CYP,2005,143000000
Cyprus,CYP,2010,171000000
Cyprus,CYP,2015,167600000
Czechia,CZE,1995,20000000
Czechia,CZE,2000,18700000
Czechia,CZE,2005,29800000
Czechia,CZE,2010,43200000
Czechia,CZE,2015,44000000
Denmark,DNK,1970,180000000
Denmark,DNK,1975,460000000
Denmark,DNK,1980,460000000
Denmark,DNK,1985,700000000
Denmark,DNK,1990,465000000
Denmark,DNK,1995,369000000
Denmark,DNK,2000,165200000
Denmark,DNK,2005,117500000
Denmark,DNK,2010,164000000
Estonia,EST,1995,8000000
Estonia,EST,2000,30000000
Estonia,EST,2005,7600000
Estonia,EST,2010,4500000
Estonia,EST,2015,5000000
Finland,FIN,1990,20000000
Finland,FIN,1995,50000000
Finland,FIN,2000,50000000
Finland,FIN,2005,50000000
France,FRA,1990,4919000000
France,FRA,1995,3350000000
France,FRA,2000,4291000000.0000005
France,FRA,2005,3933000000
France,FRA,2010,3143000000
Germany,DEU,1990,1600000000
Germany,DEU,1995,1600000000
Germany,DEU,2000,1140000000
Germany,DEU,2005,131700000.00000001
Germany,DEU,2010,210900000
Greece,GRC,1970,2425000000
Greece,GRC,1975,3576000000
Greece,GRC,1985,4600000000
Greece,GRC,1990,7900000000
Greece,GRC,1995,7600000000
Greece,GRC,2000,8420000000
Greece,GRC,2005,8458000000
Greece,GRC,2010,7918000000
Hungary,HUN,1970,665000000
Hungary,HUN,1975,890300000
Hungary,HUN,1985,2286000000
Hungary,HUN,1990,949000000
Hungary,HUN,1995,455600000
Hungary,HUN,2000,679600000
Hungary,HUN,2005,305400000
Hungary,HUN,2010,322000000
Ireland,IRL,1970,179000000
Ireland,IRL,1980,130000000
Ireland,IRL,1995,179000000
Italy,ITA,1970,25600000000
Italy,ITA,2000,20010000000
Italy,ITA,2005,12890000000
Latvia,LVA,1995,36000000
Latvia,LVA,2000,53200000
Latvia,LVA,2005,50600000
Latvia,LVA,2010,40800000
Latvia,LVA,2015,36300000
Lithuania,LTU,1995,8000000
Lithuania,LTU,2000,53000000
Lithuania,LTU,2005,81800000
Lithuania,LTU,2010,65600000.00000001
Luxembourg,LUX,1995,200000
Luxembourg,LUX,2000,200000
Luxembourg,LUX,2010,200000
Luxembourg,LUX,2015,300000
Malta,MLT,1995,7000000
Malta,MLT,2000,18900000
Malta,MLT,2005,20300000
Malta,MLT,2010,24100000
Malta,MLT,2015,29000000
Netherlands,NLD,1990,184000000
Netherlands,NLD,1995,230000000
Netherlands,NLD,2000,52600000
Netherlands,NLD,2005,71900000
Netherlands,NLD,2010,60200000
Poland,POL,1970,1681000000
Poland,POL,1975,1662000000
Poland,POL,1980,1323000000
Poland,POL,1985,1606000000
Poland,POL,1990,1370000000
Poland,POL,1995,1083000000
Poland,POL,2000,1108000000
Poland,POL,2005,1122000000
Poland,POL,2010,1102000000
Portugal,PRT,1990,5100000000
Portugal,PRT,1995,10000000000
Portugal,PRT,2000,8767000000
Romania,ROU,1970,3400000000
Romania,ROU,1975,5750000000
Romania,ROU,1980,6790000000
Romania,ROU,1985,8490000000
Romania,ROU,1990,9100000000
Romania,ROU,1995,2980000000
Romania,ROU,2000,1192000000
Romania,ROU,2005,1099000000
Romania,ROU,2010,1093000000
Romania,ROU,2015,1135000000
Slovakia,SVK,1995,67000000.00000001
Slovakia,SVK,2000,56000000
Slovakia,SVK,2005,22500000
Slovakia,SVK,2010,30700000
Slovakia,SVK,2015,22900000
Slovenia,SVN,1990,3700000
Slovenia,SVN,1995,4800000
Slovenia,SVN,2000,6600000
Slovenia,SVN,2005,4600000
Slovenia,SVN,2010,2300000
Slovenia,SVN,2015,3600000
Spain,ESP,1985,28430000000
Spain,ESP,1990,23700000000
Spain,ESP,1995,23410000000
Spain,ESP,2000,23040000000
Spain,ESP,2005,23180000000
Spain,ESP,2010,25470000000
Sweden,SWE,1970,132000000
Sweden,SWE,1975,137000000
Sweden,SWE,1980,140000000
Sweden,SWE,1990,174000000
Sweden,SWE,1995,150000000
Sweden,SWE,2000,135000000
Sweden,SWE,2005,107000000
Sweden,SWE,2010,98000000
United Kingdom,GBR,1990,668100000
United Kingdom,GBR,1995,1723000000
United Kingdom,GBR,2000,1308000000
United Kingdom,GBR,2005,1330000000
United Kingdom,GBR,2010,1048999999.9999999
