Entity,Code,Year,1_1_Water_withdrawal_pc
Austria,AUT,1980,440.4
Austria,AUT,1985,469.6
Austria,AUT,1990,487.3
Austria,AUT,1995,454.6
Austria,AUT,2000,452
Austria,AUT,2010,413
Belgium,BEL,1980,919.5
Belgium,BEL,1995,754.4
Belgium,BEL,2000,650.1
Belgium,BEL,2005,580.8
Belgium,BEL,2010,542
Bulgaria,BGR,1980,1590
Bulgaria,BGR,1985,1575
Bulgaria,BGR,1990,866
Bulgaria,BGR,2000,837.3
Bulgaria,BGR,2005,819.5
Bulgaria,BGR,2010,782.4
Bulgaria,BGR,2015,787.3
Croatia,HRV,2010,156.1
Croatia,HRV,2015,149.5
Cyprus,CYP,1975,232.9
Cyprus,CYP,1980,255.9
Cyprus,CYP,1985,276.5
Cyprus,CYP,1990,282.3
Cyprus,CYP,1995,236.9
Cyprus,CYP,2000,214.5
Cyprus,CYP,2005,203.8
Cyprus,CYP,2010,226.6
Cyprus,CYP,2015,219.1
Czechia,CZE,1995,241.7
Czechia,CZE,2000,186.6
Czechia,CZE,2005,190.6
Czechia,CZE,2010,174.6
Czechia,CZE,2015,156.5
Denmark,DNK,1970,144.3
Denmark,DNK,1975,236.5
Denmark,DNK,1980,235.2
Denmark,DNK,1985,333.3
Denmark,DNK,1990,243.9
Denmark,DNK,1995,176.7
Denmark,DNK,2000,124.4
Denmark,DNK,2005,104.4
Denmark,DNK,2010,116.4
Estonia,EST,1990,1729
Estonia,EST,1995,963.1
Estonia,EST,2000,1022
Estonia,EST,2005,1365
Estonia,EST,2010,1232
Estonia,EST,2015,1310
Finland,FIN,1970,710.4
Finland,FIN,1975,749.1
Finland,FIN,1980,766.7
Finland,FIN,1985,810.2
Finland,FIN,1990,466.1
Finland,FIN,1995,503
Finland,FIN,2000,447.6
Finland,FIN,2005,1241
France,FRA,1980,568
France,FRA,1985,623
France,FRA,1990,682.1
France,FRA,1995,517.3
France,FRA,2000,538.8
France,FRA,2005,506.9
France,FRA,2010,475.6
Germany,DEU,1990,577.8
Germany,DEU,1995,551.3
Germany,DEU,2000,479.2
Germany,DEU,2005,399.5
Germany,DEU,2010,410.5
Greece,GRC,1970,480.4
Greece,GRC,1975,462
Greece,GRC,1980,515.8
Greece,GRC,1985,550.7
Greece,GRC,1990,778.8
Greece,GRC,1995,805.2
Greece,GRC,2000,840.9
Greece,GRC,2005,865.2
Hungary,HUN,1970,286.1
Hungary,HUN,1975,372.3
Hungary,HUN,1980,448.2
Hungary,HUN,1985,605.9
Hungary,HUN,1990,688.6
Hungary,HUN,1995,582.9
Hungary,HUN,2000,562.5
Hungary,HUN,2005,554.8
Hungary,HUN,2010,507.2
Ireland,IRL,1980,305.6
Ireland,IRL,1995,317.3
Ireland,IRL,2005,166.3
Ireland,IRL,2010,162.2
Italy,ITA,1970,766.7
Italy,ITA,2000,787.6
Italy,ITA,2010,899.8
Latvia,LVA,1995,171.7
Latvia,LVA,2000,110.6
Latvia,LVA,2005,100.5
Latvia,LVA,2010,127.7
Latvia,LVA,2015,125.8
Lithuania,LTU,1995,1218
Lithuania,LTU,2000,806.3
Lithuania,LTU,2005,695.2
Lithuania,LTU,2010,209.4
Luxembourg,LUX,1970,84.92
Luxembourg,LUX,1975,102.6
Luxembourg,LUX,1980,95.2
Luxembourg,LUX,1985,159.9
Luxembourg,LUX,1995,130.5
Luxembourg,LUX,2000,136.4
Luxembourg,LUX,2010,83.57
Luxembourg,LUX,2015,76
Malta,MLT,1980,61.16
Malta,MLT,1995,147.8
Malta,MLT,2000,137.5
Malta,MLT,2005,138.2
Malta,MLT,2010,96.01
Malta,MLT,2015,108.2
Netherlands,NLD,1980,645.2
Netherlands,NLD,1985,638.8
Netherlands,NLD,1990,527.7
Netherlands,NLD,1995,416.2
Netherlands,NLD,2000,554.5
Netherlands,NLD,2005,665.1
Netherlands,NLD,2010,640
Poland,POL,1970,303.3
Poland,POL,1975,389
Poland,POL,1980,414.3
Poland,POL,1985,433.4
Poland,POL,1990,348.7
Poland,POL,1995,331.8
Poland,POL,2000,305
Poland,POL,2005,312.5
Poland,POL,2010,297.3
Portugal,PRT,1990,864.9
Portugal,PRT,2000,1075
Portugal,PRT,2005,867.3
Romania,ROU,1970,456.4
Romania,ROU,1975,652.1
Romania,ROU,1980,823
Romania,ROU,1985,879.4
Romania,ROU,1990,873.2
Romania,ROU,1995,550.5
Romania,ROU,2000,422
Romania,ROU,2005,328.1
Romania,ROU,2010,325
Romania,ROU,2015,328.9
Slovakia,SVK,1995,243.6
Slovakia,SVK,2000,203.2
Slovakia,SVK,2005,127.6
Slovakia,SVK,2010,122.8
Slovakia,SVK,2015,103.1
Slovenia,SVN,2000,452.3
Slovenia,SVN,2005,463.5
Slovenia,SVN,2010,449.9
Slovenia,SVN,2015,559
Spain,ESP,1975,983.5
Spain,ESP,1980,1045
Spain,ESP,1985,1177
Spain,ESP,1990,936.6
Spain,ESP,1995,865.1
Spain,ESP,2000,859.5
Spain,ESP,2005,786.8
Spain,ESP,2010,800.9
Sweden,SWE,1970,501.5
Sweden,SWE,1975,501.5
Sweden,SWE,1980,493.3
Sweden,SWE,1985,353
Sweden,SWE,1990,342.6
Sweden,SWE,1995,306
Sweden,SWE,2000,300.3
Sweden,SWE,2005,287.3
Sweden,SWE,2010,281.8
United Kingdom,GBR,1980,240.2
United Kingdom,GBR,1985,203.5
United Kingdom,GBR,1990,209.9
United Kingdom,GBR,1995,208
United Kingdom,GBR,2000,266.6
United Kingdom,GBR,2005,139.2
United Kingdom,GBR,2010,129.2
