Entity,Code,Year,3_1_Renewables_kWpc
Azerbaijan,AZE,1985,563.22015
Azerbaijan,AZE,1986,339.3284
Azerbaijan,AZE,1987,333.45038
Azerbaijan,AZE,1988,284.3575
Azerbaijan,AZE,1989,280.96304
Azerbaijan,AZE,1990,660.04224
Azerbaijan,AZE,1991,690.1098
Azerbaijan,AZE,1992,675.98004
Azerbaijan,AZE,1993,926.81555
Azerbaijan,AZE,1994,691.8137
Azerbaijan,AZE,1995,583.2019
Azerbaijan,AZE,1996,571.7488
Azerbaijan,AZE,1997,632.7903
Azerbaijan,AZE,1998,717.4498
Azerbaijan,AZE,1999,549.6828
Azerbaijan,AZE,2000,553.82574
Azerbaijan,AZE,2001,461.48856
Azerbaijan,AZE,2002,704.24695
Azerbaijan,AZE,2003,846.49286
Azerbaijan,AZE,2004,927.8629
Azerbaijan,AZE,2005,995.4846
Azerbaijan,AZE,2006,817.5785
Azerbaijan,AZE,2007,752.89355
Azerbaijan,AZE,2008,696.9179
Azerbaijan,AZE,2009,707.5463
Azerbaijan,AZE,2010,1035.6885
Azerbaijan,AZE,2011,788.716
Azerbaijan,AZE,2012,526.3849
Azerbaijan,AZE,2013,444.81433
Azerbaijan,AZE,2014,391.3848
Azerbaijan,AZE,2015,479.00803
Azerbaijan,AZE,2016,569.26935
Azerbaijan,AZE,2017,504.12286
Azerbaijan,AZE,2018,518.0196
Azerbaijan,AZE,2019,472.18802
Azerbaijan,AZE,2020,340.77127
Azerbaijan,AZE,2021,391.18164
Azerbaijan,AZE,2022,469.34256
Iran,IRN,1965,206.08473
Iran,IRN,1966,215.06897
Iran,IRN,1967,225.02487
Iran,IRN,1968,235.34503
Iran,IRN,1969,246.2945
Iran,IRN,1970,257.69037
Iran,IRN,1971,269.1863
Iran,IRN,1972,343.7199
Iran,IRN,1973,283.02673
Iran,IRN,1974,302.78024
Iran,IRN,1975,308.6364
Iran,IRN,1976,335.18826
Iran,IRN,1977,336.1031
Iran,IRN,1978,510.1094
Iran,IRN,1979,427.81784
Iran,IRN,1980,428.47214
Iran,IRN,1981,445.2223
Iran,IRN,1982,444.9306
Iran,IRN,1983,420.28845
Iran,IRN,1984,379.19778
Iran,IRN,1985,369.04367
Iran,IRN,1986,426.199
Iran,IRN,1987,457.2841
Iran,IRN,1988,467.90366
Iran,IRN,1989,371.07925
Iran,IRN,1990,391.18335
Iran,IRN,1991,285.90417
Iran,IRN,1992,458.39993
Iran,IRN,1993,521.22406
Iran,IRN,1994,339.93735
Iran,IRN,1995,404.82108
Iran,IRN,1996,423.1102
Iran,IRN,1997,281.16714
Iran,IRN,1998,348.90384
Iran,IRN,1999,237.47733
Iran,IRN,2000,172.22386
Iran,IRN,2001,183.10599
Iran,IRN,2002,348.65805
Iran,IRN,2003,410.36798
Iran,IRN,2004,499.84552
Iran,IRN,2005,592.3636
Iran,IRN,2006,743.90515
Iran,IRN,2007,707.6928
Iran,IRN,2008,292.58664
Iran,IRN,2009,261.20392
Iran,IRN,2010,384.20227
Iran,IRN,2011,394.67236
Iran,IRN,2012,454.31564
Iran,IRN,2013,516.40894
Iran,IRN,2014,500.05493
Iran,IRN,2015,441.6515
Iran,IRN,2016,501.5935
Iran,IRN,2017,556.3217
Iran,IRN,2018,334.95282
Iran,IRN,2019,1069.1495
Iran,IRN,2020,750.42755
Iran,IRN,2021,495.74802
Iran,IRN,2022,278.47375
Israel,ISR,1971,0
Israel,ISR,1972,0
Israel,ISR,1973,0
Israel,ISR,1974,0
Israel,ISR,1975,0
Israel,ISR,1976,0
Israel,ISR,1977,0
Israel,ISR,1978,0
Israel,ISR,1979,0
Israel,ISR,1980,0
Israel,ISR,1981,1.5494769
Israel,ISR,1982,1.5191917
Israel,ISR,1983,0.74313307
Israel,ISR,1984,1.4505692
Israel,ISR,1985,1.4139162
Israel,ISR,1986,4.1304393
Israel,ISR,1987,6.702122
Israel,ISR,1988,6.519819
Israel,ISR,1989,1.9008759
Israel,ISR,1990,1.8468666
Israel,ISR,1991,3.5894365
Israel,ISR,1992,16.882502
