Entity,Code,Year,4_1_Migrant_pcent
Afghanistan,AFG,1990,0.478024989
Afghanistan,AFG,1995,0.426423639
Afghanistan,AFG,2000,0.385327548
Afghanistan,AFG,2005,0.357787639
Afghanistan,AFG,2010,0.365657836
Afghanistan,AFG,2015,1.175546885
Armenia,ARM,1990,18.58520889
Armenia,ARM,1995,21.53154755
Armenia,ARM,2000,21.3874855
Armenia,ARM,2005,15.5599308
Armenia,ARM,2010,7.476305008
Armenia,ARM,2015,6.335892677
Azerbaijan,AZE,1990,4.996880054
Azerbaijan,AZE,1995,4.427725792
Azerbaijan,AZE,2000,4.034865856
Azerbaijan,AZE,2005,3.529206514
Azerbaijan,AZE,2010,3.0429039
Azerbaijan,AZE,2015,2.709061623
Georgia,GEO,1990,6.19562006
Georgia,GEO,1995,5.495206833
Georgia,GEO,2000,4.608323097
Georgia,GEO,2005,4.464643955
Georgia,GEO,2010,4.286972523
Georgia,GEO,2015,4.220248222
Iran,IRN,1990,7.640488625
Iran,IRN,1995,4.870249748
Iran,IRN,2000,4.257862568
Iran,IRN,2005,3.663508892
Iran,IRN,2010,3.719105005
Iran,IRN,2015,3.446397543
Israel,ISR,1990,36.28907776
Israel,ISR,1995,33.614254
Israel,ISR,2000,30.78480148
Israel,ISR,2005,28.61289215
Israel,ISR,2010,26.28730774
Israel,ISR,2015,24.94689941
Jordan,JOR,1990,34.13324356
Jordan,JOR,1995,35.57964706
Jordan,JOR,2000,40.43743515
Jordan,JOR,2005,43.60438538
Jordan,JOR,2010,41.77692032
Jordan,JOR,2015,40.97711182
Kazakhstan,KAZ,1990,21.894701
Kazakhstan,KAZ,1995,20.37716675
Kazakhstan,KAZ,2000,19.19732857
Kazakhstan,KAZ,2005,20.08161926
Kazakhstan,KAZ,2010,20.44448471
Kazakhstan,KAZ,2015,20.12330437
Kuwait,KWT,1990,52.1844902
Kuwait,KWT,1995,56.31866455
Kuwait,KWT,2000,58.44299316
Kuwait,KWT,2005,58.90283966
Kuwait,KWT,2010,61.171875
Kuwait,KWT,2015,73.63954926
Kyrgyzstan,KGZ,1990,14.17869377
Kyrgyzstan,KGZ,1995,11.11239147
Kyrgyzstan,KGZ,2000,7.862155437
Kyrgyzstan,KGZ,2005,6.116681576
Kyrgyzstan,KGZ,2010,4.236584663
Kyrgyzstan,KGZ,2015,3.440796375
Lebanon,LBN,1990,19.37437439
Lebanon,LBN,1995,20.05346489
Lebanon,LBN,2000,21.41674232
Lebanon,LBN,2005,18.98193169
Lebanon,LBN,2010,18.92150116
Lebanon,LBN,2015,34.14567947
Oman,OMN,1990,16.77556992
Oman,OMN,1995,24.6202774
Oman,OMN,2000,27.84706497
Oman,OMN,2005,26.57315445
Oman,OMN,2010,27.72728157
Oman,OMN,2015,41.08587265
Pakistan,PAK,1990,5.769296646
Pakistan,PAK,1995,2.992916346
Pakistan,PAK,2000,3.024880409
Pakistan,PAK,2005,2.067818642
Pakistan,PAK,2010,2.317981243
Pakistan,PAK,2015,1.920846105
Palestine,PSE,1990,13.72254086
Palestine,PSE,1995,10.7615633
Palestine,PSE,2000,8.536622047
Palestine,PSE,2005,7.448521614
Palestine,PSE,2010,6.341753483
Palestine,PSE,2015,5.473039627
Qatar,QAT,1990,65.00888062
Qatar,QAT,1995,72.18748474
Qatar,QAT,2000,60.61086655
Qatar,QAT,2005,77.19052124
Qatar,QAT,2010,82.49234009
Qatar,QAT,2015,75.49762726
Saudi Arabia,SAU,1990,30.55012894
Saudi Arabia,SAU,1995,27.17084885
Saudi Arabia,SAU,2000,24.60415077
Saudi Arabia,SAU,2005,26.27503967
Saudi Arabia,SAU,2010,30.00983238
Saudi Arabia,SAU,2015,32.29494095
Syria,SYR,1990,5.735355377
Syria,SYR,1995,5.795507908
Syria,SYR,2000,5.089094162
Syria,SYR,2005,4.833274364
Syria,SYR,2010,8.020626068
Syria,SYR,2015,4.730134487
Turkey,TUR,1990,2.155189276
Turkey,TUR,1995,2.078135252
Turkey,TUR,2000,2.025553226
Turkey,TUR,2005,1.944037676
Turkey,TUR,2010,1.890507698
Turkey,TUR,2015,3.769001007
Turkmenistan,TKM,1990,8.356052399
Turkmenistan,TKM,1995,6.532100201
Turkmenistan,TKM,2000,4.853980541
Turkmenistan,TKM,2005,4.487325668
Turkmenistan,TKM,2010,3.926600456
Turkmenistan,TKM,2015,3.654711485
United Arab Emirates,ARE,1990,72.12831116
United Arab Emirates,ARE,1995,77.61569977
United Arab Emirates,ARE,2000,80.21548462
United Arab Emirates,ARE,2005,73.2051239
United Arab Emirates,ARE,2010,87.84023285
United Arab Emirates,ARE,2015,88.4040451
Uzbekistan,UZB,1990,8.057421684
Uzbekistan,UZB,1995,6.66701889
Uzbekistan,UZB,2000,5.731451511
Uzbekistan,UZB,2005,5.128202915
Uzbekistan,UZB,2010,4.398555756
Uzbekistan,UZB,2015,3.916903257
Yemen,YEM,1990,0.993746459
Yemen,YEM,1995,0.894233525
Yemen,YEM,2000,0.806368291
Yemen,YEM,2005,0.834324002
Yemen,YEM,2010,1.211585879
Yemen,YEM,2015,1.282529235
