Entity,Code,Year,0_0_temp_anomaly
Afghanistan,AFG,1947,1.93
Afghanistan,AFG,1948,0.83
Afghanistan,AFG,1949,0.05
Afghanistan,AFG,1950,-1.36
Afghanistan,AFG,1951,-0.03
Afghanistan,AFG,1952,-0.02
Afghanistan,AFG,1953,0.91
Afghanistan,AFG,1954,-0.3
Afghanistan,AFG,1955,0.03
Afghanistan,AFG,1956,-0.01
Afghanistan,AFG,1957,-1.1
Afghanistan,AFG,1958,0.73
Afghanistan,AFG,1959,0.69
Afghanistan,AFG,1960,-0.02
Afghanistan,AFG,1961,-0.05
Afghanistan,AFG,1962,-0.33
Afghanistan,AFG,1963,0.83
Afghanistan,AFG,1964,-1.03
Afghanistan,AFG,1965,0.04
Afghanistan,AFG,1966,0.09
Afghanistan,AFG,1967,-0.41
Afghanistan,AFG,1968,-0.58
Afghanistan,AFG,1969,-0.24
Afghanistan,AFG,1970,0.57
Afghanistan,AFG,1971,0.71
Afghanistan,AFG,1972,-1.74
Afghanistan,AFG,1973,0.13
Afghanistan,AFG,1974,-0.9
Afghanistan,AFG,1975,-0.71
Afghanistan,AFG,1976,-0.39
Afghanistan,AFG,1977,0.84
Afghanistan,AFG,1978,0.33
Afghanistan,AFG,1979,0.11
Afghanistan,AFG,1980,0.54
Afghanistan,AFG,1981,0.44
Afghanistan,AFG,1982,-0.47
Afghanistan,AFG,1983,0.39
Afghanistan,AFG,1984,-0.06
Afghanistan,AFG,1985,0.39
Afghanistan,AFG,1986,-0.51
Afghanistan,AFG,1987,0.65
Afghanistan,AFG,1988,1.04
Afghanistan,AFG,1989,-0.55
Afghanistan,AFG,1990,0.39
Afghanistan,AFG,1991,-0.18
Afghanistan,AFG,1992,-0.56
Afghanistan,AFG,1993,0.23
Afghanistan,AFG,1994,0.66
Afghanistan,AFG,1995,0.41
Afghanistan,AFG,1996,-0.07
Afghanistan,AFG,1997,0.33
Afghanistan,AFG,1998,1.12
Afghanistan,AFG,1999,1.17
Afghanistan,AFG,2000,1.42
Afghanistan,AFG,2001,1.67
Afghanistan,AFG,2002,1.78
Afghanistan,AFG,2003,1.08
Afghanistan,AFG,2004,1.76
Afghanistan,AFG,2005,0.91
Afghanistan,AFG,2006,2.97
Afghanistan,AFG,2007,0.69
Afghanistan,AFG,2008,1.18
Afghanistan,AFG,2009,1.61
Afghanistan,AFG,2010,1.94
Afghanistan,AFG,2011,1.71
Afghanistan,AFG,2012,0.66
Afghanistan,AFG,2013,1.54
Afghanistan,AFG,2014,1.19
Afghanistan,AFG,2015,1.59
Afghanistan,AFG,2016,-0.29
Afghanistan,AFG,2017,1.95
Armenia,ARM,1850,-1.03
Armenia,ARM,1851,0.01
Armenia,ARM,1852,-0.43
Armenia,ARM,1853,0.02
Armenia,ARM,1854,-1.09
Armenia,ARM,1855,0.02
Armenia,ARM,1856,-0.46
Armenia,ARM,1857,-1.33
Armenia,ARM,1858,-0.9
Armenia,ARM,1859,-0.43
Armenia,ARM,1860,-0.26
Armenia,ARM,1861,-1.19
Armenia,ARM,1862,-1.47
Armenia,ARM,1863,-1.16
Armenia,ARM,1864,-0.41
Armenia,ARM,1865,-0.15
Armenia,ARM,1866,-0.3
Armenia,ARM,1867,-0.28
Armenia,ARM,1868,-0.37
Armenia,ARM,1869,0
Armenia,ARM,1870,-0.26
Armenia,ARM,1871,0.17
Armenia,ARM,1872,0.78
Armenia,ARM,1873,0.76
Armenia,ARM,1874,-0.19
Armenia,ARM,1875,-0.34
Armenia,ARM,1881,-0.4
Armenia,ARM,1882,-0.62
Armenia,ARM,1883,0.06
Armenia,ARM,1884,-0.5
Armenia,ARM,1885,-0.13
Armenia,ARM,1886,-0.57
Armenia,ARM,1887,0.03
Armenia,ARM,1888,0.36
Armenia,ARM,1889,0.02
Armenia,ARM,1890,0.09
Armenia,ARM,1891,-0.22
Armenia,ARM,1892,0.31
Armenia,ARM,1893,-0.37
Armenia,ARM,1894,-0.98
Armenia,ARM,1895,-0.17
Armenia,ARM,1896,-0.9
Armenia,ARM,1897,-0.12
Armenia,ARM,1898,-0.97
Armenia,ARM,1899,0.59
Armenia,ARM,1900,-0.47
Armenia,ARM,1901,0.68
Armenia,ARM,1902,-0.15
Armenia,ARM,1903,-0.07
Armenia,ARM,1904,-0.53
Armenia,ARM,1905,-0.02
Armenia,ARM,1906,0.32
Armenia,ARM,1907,-0.72
Armenia,ARM,1908,-0.78
Armenia,ARM,1909,0.24
Armenia,ARM,1910,0.28
Armenia,ARM,1911,-1.62
Armenia,ARM,1912,0.11
Armenia,ARM,1913,-0.2
Armenia,ARM,1914,0.24
Armenia,ARM,1915,0.55
Armenia,ARM,1916,0.35
Armenia,ARM,1917,0.7
Armenia,ARM,1918,0.22
Armenia,ARM,1919,0.02
Armenia,ARM,1920,-1.65
Armenia,ARM,1921,-0.71
Armenia,ARM,1922,0.36
Armenia,ARM,1923,0.19
Armenia,ARM,1924,-0.09
Armenia,ARM,1925,0.03
Armenia,ARM,1926,-0.18
Armenia,ARM,1927,-0.17
Armenia,ARM,1928,-1.01
Armenia,ARM,1929,-0.61
Armenia,ARM,1930,0.37
Armenia,ARM,1931,-0.57
Armenia,ARM,1932,-0.49
Armenia,ARM,1933,-0.83
Armenia,ARM,1934,-0.42
Armenia,ARM,1935,0.6
Armenia,ARM,1936,0.25
Armenia,ARM,1937,0.67
Armenia,ARM,1938,0.45
Armenia,ARM,1939,0.29
Armenia,ARM,1940,0.48
Armenia,ARM,1941,-0.05
Armenia,ARM,1942,-0.24
Armenia,ARM,1943,-0.28
Armenia,ARM,1944,0.36
Armenia,ARM,1945,-0.87
Armenia,ARM,1946,-0.34
Armenia,ARM,1947,0.49
Armenia,ARM,1948,-0.23
Armenia,ARM,1949,-0.79
Armenia,ARM,1950,-0.52
Armenia,ARM,1951,0
Armenia,ARM,1952,0.43
Armenia,ARM,1953,-0.47
Armenia,ARM,1954,0.03
Armenia,ARM,1955,0.92
Armenia,ARM,1956,-1.09
Armenia,ARM,1957,0.19
Armenia,ARM,1958,0.06
Armenia,ARM,1959,-0.81
