Entity,Code,Year,4_1_Migrant_pcent
Afghanistan,AFG,1990,0.478024989
Afghanistan,AFG,1995,0.426423639
Afghanistan,AFG,2000,0.385327548
Afghanistan,AFG,2005,0.357787639
Afghanistan,AFG,2010,0.365657836
Afghanistan,AFG,2015,1.175546885
Albania,ALB,1990,2.011700392
Albania,ALB,1995,2.296757936
Albania,ALB,2000,2.456625938
Albania,ALB,2005,2.100434303
Albania,ALB,2010,1.818956852
Albania,ALB,2015,1.989036441
Algeria,DZA,1990,1.057232738
Algeria,DZA,1995,0.906550229
Algeria,DZA,2000,0.802054703
Algeria,DZA,2005,0.744071901
Algeria,DZA,2010,0.679772794
Algeria,DZA,2015,0.611072004
American Samoa,ASM,1990,45.24062729
American Samoa,ASM,1995,43.68498611
American Samoa,ASM,2000,43.30864716
American Samoa,ASM,2005,40.99159241
American Samoa,ASM,2010,42.33769608
American Samoa,ASM,2015,41.80200958
Andorra,AND,1990,71.36907959
Andorra,AND,1995,63.46509171
Andorra,AND,2000,64.44441223
Andorra,AND,2005,61.92580795
Andorra,AND,2010,61.66028976
Andorra,AND,2015,59.71364975
Angola,AGO,1990,0.301198691
Angola,AGO,1995,0.305252016
Angola,AGO,2000,0.306189716
Angola,AGO,2005,0.342372566
Angola,AGO,2010,0.360740662
Angola,AGO,2015,0.427004665
Antigua and Barbuda,ATG,1990,19.43107224
Antigua and Barbuda,ATG,1995,25.6770401
Antigua and Barbuda,ATG,2000,29.71229172
Antigua and Barbuda,ATG,2005,29.9654808
Antigua and Barbuda,ATG,2010,30.27753258
Antigua and Barbuda,ATG,2015,30.58550644
Argentina,ARG,1990,5.04103899
Argentina,ARG,1995,4.55801487
Argentina,ARG,2000,4.156300068
Argentina,ARG,2005,4.274024963
Argentina,ARG,2010,4.380958557
Argentina,ARG,2015,4.80529213
Armenia,ARM,1990,18.58520889
Armenia,ARM,1995,21.53154755
Armenia,ARM,2000,21.3874855
Armenia,ARM,2005,15.5599308
Armenia,ARM,2010,7.476305008
Armenia,ARM,2015,6.335892677
Aruba,ABW,1990,23.24129486
Aruba,ABW,1995,27.72950172
Aruba,ABW,2000,33.13302231
Aruba,ABW,2005,32.52991486
Aruba,ABW,2010,33.78741455
Aruba,ABW,2015,34.76210022
Australia,AUS,1990,23.1341362
Australia,AUS,1995,22.91521454
