Entity,Code,Year,0_0_Pesticides_kg_ha
Bahrain,BHR,1990,3.51
Bahrain,BHR,1991,3.51
Bahrain,BHR,1992,2.81
Bahrain,BHR,1993,2.81
Bahrain,BHR,1994,6.17
Bahrain,BHR,1995,2.49
Bahrain,BHR,1996,2.43
Bahrain,BHR,1997,1.88
Bahrain,BHR,1998,2.23
Bahrain,BHR,1999,2.08
Bahrain,BHR,2000,1.66
Bahrain,BHR,2001,1.77
Bahrain,BHR,2002,0.18
Bahrain,BHR,2003,1.23
Bahrain,BHR,2004,2.6
Bahrain,BHR,2005,2.71
Bahrain,BHR,2006,2.66
Bahrain,BHR,2007,3.69
Bahrain,BHR,2008,2.49
Bahrain,BHR,2009,2.89
Bahrain,BHR,2010,2.14
Bahrain,BHR,2011,1.99
Bahrain,BHR,2012,1.99
Bahrain,BHR,2013,1.99
Bahrain,BHR,2014,1.99
Bahrain,BHR,2015,1.99
Bahrain,BHR,2016,1.99
Bahrain,BHR,2017,1.99
Bahrain,BHR,2018,1.99
Bahrain,BHR,2019,1.99
Bahrain,BHR,2020,1.99
Bangladesh,BGD,1990,0.13
Bangladesh,BGD,1991,0.13
Bangladesh,BGD,1992,0.16
Bangladesh,BGD,1993,0.17
Bangladesh,BGD,1994,0.18
Bangladesh,BGD,1995,0.19
Bangladesh,BGD,1996,0.22
Bangladesh,BGD,1997,0.23
Bangladesh,BGD,1998,0.23
Bangladesh,BGD,1999,0.28
Bangladesh,BGD,2000,0.36
Bangladesh,BGD,2001,0.38
Bangladesh,BGD,2002,0.48
Bangladesh,BGD,2003,0.63
Bangladesh,BGD,2004,0.8
Bangladesh,BGD,2005,0.93
Bangladesh,BGD,2006,1.08
Bangladesh,BGD,2007,1.26
Bangladesh,BGD,2008,1.43
Bangladesh,BGD,2009,1.59
Bangladesh,BGD,2010,1.53
Bangladesh,BGD,2011,1.74
Bangladesh,BGD,2012,1.56
Bangladesh,BGD,2013,1.77
Bangladesh,BGD,2014,1.82
Bangladesh,BGD,2015,1.51
Bangladesh,BGD,2016,1.62
Bangladesh,BGD,2017,1.69
Bangladesh,BGD,2018,1.68
Bangladesh,BGD,2019,1.64
Bangladesh,BGD,2020,1.67
Bhutan,BTN,1990,0.03
Bhutan,BTN,1991,0.03
Bhutan,BTN,1992,0.03
Bhutan,BTN,1993,0.02
Bhutan,BTN,1994,0.15
Bhutan,BTN,1995,0.18
Bhutan,BTN,1996,0.19
Bhutan,BTN,1997,0.01
Bhutan,BTN,1998,0.01
Bhutan,BTN,1999,0.01
Bhutan,BTN,2000,0.02
Bhutan,BTN,2001,0.01
Bhutan,BTN,2002,0.01
Bhutan,BTN,2003,0.03
Bhutan,BTN,2004,0.04
Bhutan,BTN,2005,0.01
Bhutan,BTN,2006,0.03
Bhutan,BTN,2007,0.05
Bhutan,BTN,2008,0.05
Bhutan,BTN,2009,0.05
Bhutan,BTN,2010,0.06
Bhutan,BTN,2011,0.08
Bhutan,BTN,2012,0.07
Bhutan,BTN,2013,0.05
Bhutan,BTN,2014,0.03
Bhutan,BTN,2015,0.1
Bhutan,BTN,2016,0.24
Bhutan,BTN,2017,0.28
Bhutan,BTN,2018,0.38
Bhutan,BTN,2019,0.35
Bhutan,BTN,2020,0.35
Brunei,BRN,1990,0.35
Brunei,BRN,1991,0.35
Brunei,BRN,1992,0.35
Brunei,BRN,1993,0.35
Brunei,BRN,1994,0.35
Brunei,BRN,1995,0.35
Brunei,BRN,1996,0.35
Brunei,BRN,1997,0.35
Brunei,BRN,1998,0.35
Brunei,BRN,1999,0.35
Brunei,BRN,2000,0.35
Brunei,BRN,2001,0.3
Brunei,BRN,2002,0.3
Brunei,BRN,2003,0.3
Brunei,BRN,2004,0.3
Brunei,BRN,2005,0.3
Brunei,BRN,2006,1.42
Brunei,BRN,2007,1.71
Brunei,BRN,2008,0.75
Brunei,BRN,2009,2.79
Brunei,BRN,2010,3.85
Brunei,BRN,2011,0.91
Brunei,BRN,2012,0.16
Brunei,BRN,2013,1.2
Brunei,BRN,2014,2.05
Brunei,BRN,2015,2.05
Brunei,BRN,2016,2.05
Brunei,BRN,2017,2.05
Brunei,BRN,2018,2.05
Brunei,BRN,2019,2.05
Brunei,BRN,2020,2.05
China,CHN,1990,1.1
China,CHN,1991,1.09
China,CHN,1992,1.15
China,CHN,1993,1.23
China,CHN,1994,1.42
China,CHN,1995,1.58
China,CHN,1996,1.66
China,CHN,1997,1.74
China,CHN,1998,1.79
China,CHN,1999,1.92
China,CHN,2000,1.86
China,CHN,2001,1.84
China,CHN,2002,1.89
China,CHN,2003,1.9
China,CHN,2004,1.98
China,CHN,2005,2.07
China,CHN,2006,2.17
China,CHN,2007,2.28
China,CHN,2008,2.34
China,CHN,2009,2.38
China,CHN,2010,2.45
China,CHN,2011,2.49
China,CHN,2012,2.52
China,CHN,2013,2.52
China,CHN,2014,2.52
China,CHN,2015,2.49
China,CHN,2016,2.44
China,CHN,2017,2.32
China,CHN,2018,2.1
China,CHN,2019,1.95
China,CHN,2020,1.95
Hong Kong,HKG,1990,16.43
Hong Kong,HKG,1991,13.57
Hong Kong,HKG,1992,12
Hong Kong,HKG,1993,10.57
Hong Kong,HKG,1994,10.14
Hong Kong,HKG,1995,6.43
Hong Kong,HKG,1996,6.49
Hong Kong,HKG,1997,7.63
Hong Kong,HKG,1998,7.7
Hong Kong,HKG,1999,7.77
Hong Kong,HKG,2000,7.83
Hong Kong,HKG,2001,8.83
Hong Kong,HKG,2002,14
Hong Kong,HKG,2003,15
Hong Kong,HKG,2004,8.5
Hong Kong,HKG,2005,7.5
Hong Kong,HKG,2006,9.6
Hong Kong,HKG,2007,9
Hong Kong,HKG,2008,11
Hong Kong,HKG,2009,9.2
Hong Kong,HKG,2010,9.11
Hong Kong,HKG,2011,14
Hong Kong,HKG,2012,13.66
Hong Kong,HKG,2013,13.9
Hong Kong,HKG,2014,14.15
Hong Kong,HKG,2015,12.44
Hong Kong,HKG,2016,16.25
Hong Kong,HKG,2017,14.15
Hong Kong,HKG,2018,17
Hong Kong,HKG,2019,13.75
Hong Kong,HKG,2020,18.33
India,IND,1990,0.44
India,IND,1991,0.42
India,IND,1992,0.42
India,IND,1993,0.39
India,IND,1994,0.36
India,IND,1995,0.36
India,IND,1996,0.33
India,IND,1997,0.31
India,IND,1998,0.29
India,IND,1999,0.27
India,IND,2000,0.26
India,IND,2001,0.26
India,IND,2002,0.25
India,IND,2003,0.24
India,IND,2004,0.21
India,IND,2005,0.21
India,IND,2006,0.22
India,IND,2007,0.16
India,IND,2008,0.09
India,IND,2009,0.17
India,IND,2010,0.24
India,IND,2011,0.33
India,IND,2012,0.31
India,IND,2013,0.27
India,IND,2014,0.33
India,IND,2015,0.33
India,IND,2016,0.35
India,IND,2017,0.38
India,IND,2018,0.35
India,IND,2019,0.37
India,IND,2020,0.37
Indonesia,IDN,1990,0.08
Indonesia,IDN,1991,0.11
Indonesia,IDN,1992,0.03
Indonesia,IDN,1993,0.05
Indonesia,IDN,1994,0.05
Indonesia,IDN,1995,0.05
Indonesia,IDN,1996,0.05
Indonesia,IDN,1997,0.05
Indonesia,IDN,1998,0.05
Indonesia,IDN,1999,0.05
Indonesia,IDN,2000,0.04
Indonesia,IDN,2001,0.04
Indonesia,IDN,2002,0.04
Indonesia,IDN,2003,0.04
Indonesia,IDN,2004,0.04
Indonesia,IDN,2005,0.04
Indonesia,IDN,2006,0.04
Indonesia,IDN,2007,0.04
Indonesia,IDN,2008,0.04
Indonesia,IDN,2009,0.04
Indonesia,IDN,2010,0.04
Indonesia,IDN,2011,0.04
Indonesia,IDN,2012,0.04
Indonesia,IDN,2013,0.03
Indonesia,IDN,2014,0.03
Indonesia,IDN,2015,0.03
Indonesia,IDN,2016,0.03
Indonesia,IDN,2017,0.03
Indonesia,IDN,2018,0.03
Indonesia,IDN,2019,0.03
Indonesia,IDN,2020,0.03
Japan,JPN,1990,15.22
Japan,JPN,1991,15.34
Japan,JPN,1992,15.45
Japan,JPN,1993,15.58
Japan,JPN,1994,15.7
Japan,JPN,1995,15.84
Japan,JPN,1996,15.98
Japan,JPN,1997,16.13
Japan,JPN,1998,16.27
Japan,JPN,1999,16.4
Japan,JPN,2000,16.53
Japan,JPN,2001,16.43
Japan,JPN,2002,14.75
Japan,JPN,2003,14.33
Japan,JPN,2004,13.72
Japan,JPN,2005,13.6
Japan,JPN,2006,13.97
Japan,JPN,2007,13.15
Japan,JPN,2008,12.69
Japan,JPN,2009,13.23
Japan,JPN,2010,12.1
Japan,JPN,2011,11.36
Japan,JPN,2012,12.03
Japan,JPN,2013,11.63
Japan,JPN,2014,11.85
Japan,JPN,2015,12.05
Japan,JPN,2016,11.41
Japan,JPN,2017,11.76
Japan,JPN,2018,11.84
Japan,JPN,2019,11.82
Japan,JPN,2020,11.89
Laos,LAO,1990,0.02
Laos,LAO,1991,0.02
Laos,LAO,1992,0.02
Laos,LAO,1993,0.05
Laos,LAO,1994,0.04
Laos,LAO,1995,0.03
Laos,LAO,1996,0.02
Laos,LAO,1997,0
Laos,LAO,1998,0
Laos,LAO,1999,0
Laos,LAO,2000,0
Laos,LAO,2001,0
Laos,LAO,2002,0
Laos,LAO,2003,0
Laos,LAO,2004,0
Laos,LAO,2005,0
Laos,LAO,2006,0
Laos,LAO,2007,0
Laos,LAO,2008,0
Laos,LAO,2009,0.02
Laos,LAO,2010,0
Laos,LAO,2011,0.03
Laos,LAO,2012,0.03
Laos,LAO,2013,0.08
Laos,LAO,2014,0
Laos,LAO,2015,0.11
Laos,LAO,2016,0.11
Laos,LAO,2017,0.09
Laos,LAO,2018,0.12
Laos,LAO,2019,0.13
Laos,LAO,2020,0.14
Malaysia,MYS,1990,6.08
Malaysia,MYS,1991,6.05
Malaysia,MYS,1992,6.04
Malaysia,MYS,1993,5.96
Malaysia,MYS,1994,5.87
Malaysia,MYS,1995,5.89
Malaysia,MYS,1996,5.9
Malaysia,MYS,1997,5.9
Malaysia,MYS,1998,5.92
Malaysia,MYS,1999,5.92
Malaysia,MYS,2000,5.92
Malaysia,MYS,2001,5.92
Malaysia,MYS,2002,5.84
Malaysia,MYS,2003,5.77
Malaysia,MYS,2004,5.76
Malaysia,MYS,2005,5.75
Malaysia,MYS,2006,5.8
Malaysia,MYS,2007,6.87
Malaysia,MYS,2008,7.99
Malaysia,MYS,2009,7.57
Malaysia,MYS,2010,8.47
Malaysia,MYS,2011,5.74
Malaysia,MYS,2012,6.6
Malaysia,MYS,2013,7.9
Malaysia,MYS,2014,6.3
Malaysia,MYS,2015,7.64
Malaysia,MYS,2016,8.12
Malaysia,MYS,2017,6.12
Malaysia,MYS,2018,5.32
Malaysia,MYS,2019,5.77
Malaysia,MYS,2020,4.35
Maldives,MDV,1990,6.33
Maldives,MDV,1991,6.33
Maldives,MDV,1992,6.33
Maldives,MDV,1993,6.33
Maldives,MDV,1994,6.33
