Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Bahrain,BHR,1971,154.21129
Bahrain,BHR,1972,209.19386
Bahrain,BHR,1973,132.81232
Bahrain,BHR,1974,177.93617
Bahrain,BHR,1975,160.20779
Bahrain,BHR,1976,141.06718
Bahrain,BHR,1977,127.53404
Bahrain,BHR,1978,110.74115
Bahrain,BHR,1979,120.04623
Bahrain,BHR,1980,117.48502
Bahrain,BHR,1981,124.25359
Bahrain,BHR,1982,102.62128
Bahrain,BHR,1983,84.2051
Bahrain,BHR,1984,79.30924
Bahrain,BHR,1985,76.30355
Bahrain,BHR,1986,75.77757
Bahrain,BHR,1987,69.43588
Bahrain,BHR,1988,65.30694
Bahrain,BHR,1989,70.28976
Bahrain,BHR,1990,90.736
Bahrain,BHR,1991,76.10117
Bahrain,BHR,1992,72.93103
Bahrain,BHR,1993,71.65019
Bahrain,BHR,1994,62.00444
Bahrain,BHR,1995,71.15365
Bahrain,BHR,1996,75.41879
Bahrain,BHR,1997,98.11846
Bahrain,BHR,1998,104.29969
Bahrain,BHR,1999,98.89004
Bahrain,BHR,2000,85.23203
Bahrain,BHR,2001,90.72784
Bahrain,BHR,2002,87.61466
Bahrain,BHR,2003,92.6516
Bahrain,BHR,2004,101.91125
Bahrain,BHR,2005,99.50073
Bahrain,BHR,2006,106.76379
Bahrain,BHR,2007,110.75426
Bahrain,BHR,2008,112.15176
Bahrain,BHR,2009,99.42272
Bahrain,BHR,2010,114.63808
Bahrain,BHR,2011,115.44078
Bahrain,BHR,2012,114.94852
Bahrain,BHR,2013,109.27999
Bahrain,BHR,2014,109.523
Bangladesh,BGD,1972,4.17207
Bangladesh,BGD,1973,4.41489
Bangladesh,BGD,1974,2.76796
Bangladesh,BGD,1975,1.68189
Bangladesh,BGD,1976,3.95755
Bangladesh,BGD,1977,4.92153
Bangladesh,BGD,1978,3.86424
Bangladesh,BGD,1979,4.21471
Bangladesh,BGD,1980,4.35615
Bangladesh,BGD,1981,3.90796
Bangladesh,BGD,1982,4.14598
Bangladesh,BGD,1983,4.51455
Bangladesh,BGD,1984,5.01547
Bangladesh,BGD,1985,4.50385
Bangladesh,BGD,1986,4.4389
Bangladesh,BGD,1987,5.26646
Bangladesh,BGD,1988,5.47257
Bangladesh,BGD,1989,5.37784
Bangladesh,BGD,1990,6.04762
Bangladesh,BGD,1991,6.15377
Bangladesh,BGD,1992,7.52897
Bangladesh,BGD,1993,8.02923
Bangladesh,BGD,1994,9.43014
Bangladesh,BGD,1995,10.41634
Bangladesh,BGD,1996,9.17229
Bangladesh,BGD,1997,9.95152
Bangladesh,BGD,1998,10.12587
Bangladesh,BGD,1999,10.04299
Bangladesh,BGD,2000,11.96525
Bangladesh,BGD,2001,12.056
Bangladesh,BGD,2002,11.6651
Bangladesh,BGD,2003,12.65643
Bangladesh,BGD,2004,14.3143
Bangladesh,BGD,2005,14.26262
Bangladesh,BGD,2006,17.1882
Bangladesh,BGD,2007,16.61357
Bangladesh,BGD,2008,16.80963
Bangladesh,BGD,2009,15.16363
Bangladesh,BGD,2010,16.04745
Bangladesh,BGD,2011,18.68635
Bangladesh,BGD,2012,18.8934
Bangladesh,BGD,2013,18.84088
Bangladesh,BGD,2014,17.6459
Bhutan,BTN,1980,12.53195
Bhutan,BTN,1981,13.66198
Bhutan,BTN,1982,11.41443
Bhutan,BTN,1983,9.66266
Bhutan,BTN,1984,10.63421
Bhutan,BTN,1985,12.77454
Bhutan,BTN,1986,16.88386
Bhutan,BTN,1987,21.72347
Bhutan,BTN,1988,26.42186
Bhutan,BTN,1989,25.36692
Bhutan,BTN,1990,23.34989
Bhutan,BTN,1991,25.19538
Bhutan,BTN,1992,26.31638
Bhutan,BTN,1993,27.63141
Bhutan,BTN,1994,24.37209
Bhutan,BTN,1995,33.9874
Bhutan,BTN,1996,31.60348
Bhutan,BTN,1997,32.24357
Bhutan,BTN,1998,28.65063
Bhutan,BTN,1999,27.6826
Bhutan,BTN,2000,23.45396
Bhutan,BTN,2001,22.25205
Bhutan,BTN,2002,20.98575
Bhutan,BTN,2003,21.36277
Bhutan,BTN,2004,26.04307
Bhutan,BTN,2005,31.53129
Bhutan,BTN,2006,46.15266
Bhutan,BTN,2007,56.394
Bhutan,BTN,2008,41.43699
Bhutan,BTN,2009,39.20481
Bhutan,BTN,2010,40.44914
Bhutan,BTN,2011,37.06412
Bhutan,BTN,2012,29.34761
Bhutan,BTN,2013,30.22726
Bhutan,BTN,2014,28.33338
Brunei,BRN,1965,56.99743
Brunei,BRN,1966,55.74036
Brunei,BRN,1967,68.4814
Brunei,BRN,1968,69.82372
Brunei,BRN,1969,68.3699
Brunei,BRN,1970,61.02856
Brunei,BRN,1971,75.12029
Brunei,BRN,1972,65.13217
Brunei,BRN,1973,80.521
Brunei,BRN,1974,92.42188
Brunei,BRN,1975,95.40006
Brunei,BRN,1976,105.06701
Brunei,BRN,1977,98.89889
Brunei,BRN,1978,95.01182
Brunei,BRN,1979,94.62938
Brunei,BRN,1980,93.09683
Brunei,BRN,1981,91.64027
Brunei,BRN,1982,88.77288
Brunei,BRN,1983,87.58081
Brunei,BRN,1984,84.14912
Brunei,BRN,1985,83.27675
Brunei,BRN,1986,82.865
Brunei,BRN,1987,70.3826
Brunei,BRN,1988,73.72329
Brunei,BRN,1989,71.30701
Brunei,BRN,1990,70.90066
Brunei,BRN,1991,73.40325
Brunei,BRN,1992,93.54285
Brunei,BRN,1993,88.46395
Brunei,BRN,1994,80.5013
Brunei,BRN,1995,71.57258
Brunei,BRN,1996,71.73426
Brunei,BRN,1997,76.43459
Brunei,BRN,1998,52.46167
Brunei,BRN,1999,55.47326
Brunei,BRN,2000,62.26206
Brunei,BRN,2001,65.27523
Brunei,BRN,2002,64.42741
Brunei,BRN,2003,67.43931
Brunei,BRN,2004,63.16125
Brunei,BRN,2005,64.6618
Brunei,BRN,2006,67.22412
Brunei,BRN,2007,64.1278
Brunei,BRN,2008,78.33169
Brunei,BRN,2009,65.88849
Brunei,BRN,2010,73.07378
Brunei,BRN,2011,75.24786
Brunei,BRN,2012,76.89644
Brunei,BRN,2013,69.55429
Brunei,BRN,2014,57.27456
Cambodia,KHM,1960,10.60987
Cambodia,KHM,1961,9.87778
Cambodia,KHM,1962,8.24242
Cambodia,KHM,1963,12.03725
Cambodia,KHM,1964,9.50365
Cambodia,KHM,1965,10.02796
Cambodia,KHM,1966,7.28437
Cambodia,KHM,1967,8.50593
Cambodia,KHM,1968,8.22922
Cambodia,KHM,1969,5.03456
Cambodia,KHM,1970,5.34082
Cambodia,KHM,1971,1.31227
Cambodia,KHM,1972,1.16804
Cambodia,KHM,1973,2.24314
Cambodia,KHM,1974,3.26437
