Entity,Code,Year,4_1_Migrant_pcent
Bahrain,BHR,1990,34.9257164
Bahrain,BHR,1995,36.53858948
Bahrain,BHR,2000,35.89400864
Bahrain,BHR,2005,46.5987854
Bahrain,BHR,2010,52.15619659
Bahrain,BHR,2015,51.12678528
Bangladesh,BGD,1990,0.831846476
Bangladesh,BGD,1995,0.789287031
Bangladesh,BGD,2000,0.752473652
Bangladesh,BGD,2005,0.816273808
Bangladesh,BGD,2010,0.887465119
Bangladesh,BGD,2015,0.883753717
Bhutan,BTN,1990,4.445710182
Bhutan,BTN,1995,5.496593475
Bhutan,BTN,2000,5.696160793
Bhutan,BTN,2005,6.18570137
Bhutan,BTN,2010,6.72270298
Bhutan,BTN,2015,6.595769405
Brunei,BRN,1990,28.48925209
Brunei,BRN,1995,28.72716141
Brunei,BRN,2000,29.13170052
Brunei,BRN,2005,27.20198822
Brunei,BRN,2010,25.57500267
Brunei,BRN,2015,24.27597237
Cambodia,KHM,1990,0.42596972
Cambodia,KHM,1995,0.862409234
Cambodia,KHM,2000,1.19762373
Cambodia,KHM,2005,0.856084883
Cambodia,KHM,2010,0.570727944
Cambodia,KHM,2015,0.474794447
China,CHN,1990,0.032596495
China,CHN,1995,0.036014263
China,CHN,2000,0.040003479
China,CHN,2005,0.052002657
China,CHN,2010,0.063376643
China,CHN,2015,0.071076393
Hong Kong,HKG,1990,38.28891754
Hong Kong,HKG,1995,39.77213287
Hong Kong,HKG,2000,39.34725571
Hong Kong,HKG,2005,39.76980591
Hong Kong,HKG,2010,39.75008392
Hong Kong,HKG,2015,38.94993973
India,IND,1990,0.860692501
India,IND,1995,0.723532021
India,IND,2000,0.608579695
India,IND,2005,0.517653227
India,IND,2010,0.441598743
India,IND,2015,0.399752706
Indonesia,IDN,1990,0.256624877
Indonesia,IDN,1995,0.192406654
Indonesia,IDN,2000,0.138180211
Indonesia,IDN,2005,0.127983198
Indonesia,IDN,2010,0.126407042
Indonesia,IDN,2015,0.127675548
Japan,JPN,1990,0.879862785
Japan,JPN,1995,1.109463692
Japan,JPN,2000,1.341583252
Japan,JPN,2005,1.585238457
Japan,JPN,2010,1.676212907
Japan,JPN,2015,1.614775062
Laos,LAO,1990,0.538297236
Laos,LAO,1995,0.484295905
Laos,LAO,2000,0.410789758
Laos,LAO,2005,0.354585856
Laos,LAO,2010,0.338389128
Laos,LAO,2015,0.327020347
Macao,MAC,1990,56.99945831
Macao,MAC,1995,56.44972229
Macao,MAC,2000,55.75065994
Macao,MAC,2005,59.66220093
Macao,MAC,2010,59.5754776
Macao,MAC,2015,58.32190323
Malaysia,MYS,1990,3.821406364
Malaysia,MYS,1995,4.522803783
Malaysia,MYS,2000,5.453382015
Malaysia,MYS,2005,6.676754951
Malaysia,MYS,2010,8.556379318
Malaysia,MYS,2015,8.289348602
Maldives,MDV,1990,3.89328742
Maldives,MDV,1995,7.285393715
Maldives,MDV,2000,9.662463188
Maldives,MDV,2005,14.77040195
Maldives,MDV,2010,22.13154984
Maldives,MDV,2015,25.87218094
Mongolia,MNG,1990,0.307580322
Mongolia,MNG,1995,0.323058188
Mongolia,MNG,2000,0.342282057
Mongolia,MNG,2005,0.454195172
Mongolia,MNG,2010,0.592076302
Mongolia,MNG,2015,0.5954445
Myanmar,MMR,1990,0.317908973
Myanmar,MMR,1995,0.254217476
Myanmar,MMR,2000,0.205604002
Myanmar,MMR,2005,0.166100815
Myanmar,MMR,2010,0.147708386
Myanmar,MMR,2015,0.136014596
Nepal,NPL,1990,2.294211626
Nepal,NPL,1995,3.226721764
Nepal,NPL,2000,3.023991585
Nepal,NPL,2005,2.663821936
Nepal,NPL,2010,2.153069496
Nepal,NPL,2015,1.81764555
North Korea,PRK,1990,0.168873936
North Korea,PRK,1995,0.161475524
North Korea,PRK,2000,0.158417925
North Korea,PRK,2005,0.168380529
North Korea,PRK,2010,0.179628938
North Korea,PRK,2015,0.192635223
Oman,OMN,1990,16.77556992
Oman,OMN,1995,24.6202774
Oman,OMN,2000,27.84706497
Oman,OMN,2005,26.57315445
Oman,OMN,2010,27.72728157
Oman,OMN,2015,41.08587265
Philippines,PHL,1990,0.248712853
Philippines,PHL,1995,0.296903968
Philippines,PHL,2000,0.408168644
Philippines,PHL,2005,0.298890054
Philippines,PHL,2010,0.224206209
Philippines,PHL,2015,0.210390538
Singapore,SGP,1990,24.11026382
Singapore,SGP,1995,28.46959305
Singapore,SGP,2000,34.49790192
Singapore,SGP,2005,38.05098724
Singapore,SGP,2010,42.62277222
Singapore,SGP,2015,45.3917923
South Korea,KOR,1990,0.100104131
South Korea,KOR,1995,0.277441651
South Korea,KOR,2000,0.528452098
South Korea,KOR,2005,1.019929051
South Korea,KOR,2010,1.872630358
South Korea,KOR,2015,2.639159441
Sri Lanka,LKA,1990,0.239809811
Sri Lanka,LKA,1995,0.223805487
Sri Lanka,LKA,2000,0.213652819
Sri Lanka,LKA,2005,0.202423319
Sri Lanka,LKA,2010,0.192853808
Sri Lanka,LKA,2015,0.186850011
Thailand,THA,1990,0.9343701
Thailand,THA,1995,1.366245031
Thailand,THA,2000,2.00630784
Thailand,THA,2005,3.284719944
Thailand,THA,2010,4.834357738
Thailand,THA,2015,5.758232594
Vietnam,VNM,1990,0.041222934
Vietnam,VNM,1995,0.068168484
Vietnam,VNM,2000,0.07069017
Vietnam,VNM,2005,0.061479397
Vietnam,VNM,2010,0.069893114
Vietnam,VNM,2015,0.077897131
